nfhs4_statecode,nfhs4_state,P05,P10,P20,P30,P40,P50,P60,P70,P80,P90,P95,region,measure
AP,Andhra Pradesh,673,788,922,1040,1149,1282,1406,1591,1886,2448,3013,Rural,URP
AR,Arunachal Pradesh,498,584,688,789,945,1150,1406,1716,2192,3111,4243,Rural,URP
AS,Assam,551,621,712,770,841,915,1004,1123,1298,1568,1895,Rural,URP
BR,Bihar,516,566,667,735,811,895,972,1097,1258,1497,1933,Rural,URP
CT,Chhattisgarh,398,463,538,587,646,727,824,925,1118,1471,1910,Rural,URP
DL,NCT of Delhi,708,925,1130,1571,1828,2225,2482,3136,3604,3643,3952,Rural,URP
GA,Goa,1118,1205,1343,1620,1928,2141,2393,2686,3430,4036,4798,Rural,URP
GJ,Gujarat,712,774,882,958,1069,1215,1340,1505,1719,2178,2793,Rural,URP
HR,Haryana,745,890,1131,1299,1500,1679,1825,2042,2413,2849,3555,Rural,URP
HP,Himachal Pradesh,756,859,1009,1163,1281,1442,1619,1854,2200,2830,3573,Rural,URP
JK,Jammu & Kashmir,681,809,983,1122,1251,1376,1515,1703,1984,2414,2933,Rural,URP
JH,Jharkhand,461,520,591,655,715,785,866,977,1122,1378,1614,Rural,URP
KA,Karnataka,646,705,802,869,957,1048,1176,1356,1564,2062,2634,Rural,URP
KL,Kerala,821,943,1103,1260,1472,1672,1880,2173,2640,3634,5223,Rural,URP
MP,Madhya Pradesh,423,502,610,708,801,900,984,1111,1319,1657,2096,Rural,URP
MH,Maharashtra,591,714,858,964,1069,1192,1327,1487,1726,2229,2821,Rural,URP
MN,Manipur,727,788,895,981,1041,1129,1241,1382,1545,1794,2253,Rural,URP
ML,Meghalaya,726,776,922,1001,1074,1176,1257,1381,1548,1862,2306,Rural,URP
MZ,Mizoram,584,686,830,930,1033,1129,1224,1423,1658,2144,2736,Rural,URP
NL,Nagaland,890,1041,1211,1324,1469,1568,1721,1927,2160,2496,3059,Rural,URP
OR,Odisha,412,467,553,618,692,752,846,944,1108,1380,1700,Rural,URP
PB,Punjab,884,1031,1201,1333,1484,1647,1865,2164,2683,3408,4462,Rural,URP
