nfhs4_statecode,nfhs4_state,SL_NO,ITEM_CATEGORY,region,measure,mpce
AP,Andhra Pradesh,1,cereal,Rural,URP,174.39
AR,Arunachal Pradesh,1,cereal,Rural,URP,213.39
AS,Assam,1,cereal,Rural,URP,192.73
BR,Bihar,1,cereal,Rural,URP,166.27
CT,Chhattisgarh,1,cereal,Rural,URP,136.77
DL,NCT of Delhi,1,cereal,Rural,URP,175.42
AP,Andhra Pradesh,2,gram,Rural,URP,1.07
AR,Arunachal Pradesh,2,gram,Rural,URP,1.18
AS,Assam,2,gram,Rural,URP,1.17
BR,Bihar,2,gram,Rural,URP,2.92
CT,Chhattisgarh,2,gram,Rural,URP,0.98
DL,NCT of Delhi,2,gram,Rural,URP,3.92
AP,Andhra Pradesh,3,cereal substitutes,Rural,URP,0.04
AR,Arunachal Pradesh,3,cereal substitutes,Rural,URP,1.94
AS,Assam,3,cereal substitutes,Rural,URP,0
BR,Bihar,3,cereal substitutes,Rural,URP,0.01
CT,Chhattisgarh,3,cereal substitutes,Rural,URP,0.33
DL,NCT of Delhi,3,cereal substitutes,Rural,URP,0
AP,Andhra Pradesh,4,pulses and pulse products,Rural,URP,51.79
AR,Arunachal Pradesh,4,pulses and pulse products,Rural,URP,27.57
AS,Assam,4,pulses and pulse products,Rural,URP,34.21
BR,Bihar,4,pulses and pulse products,Rural,URP,32.26
CT,Chhattisgarh,4,pulses and pulse products,Rural,URP,32.61
DL,NCT of Delhi,4,pulses and pulse products,Rural,URP,69.63
AP,Andhra Pradesh,5,milk and milk products,Rural,URP,102.49
AR,Arunachal Pradesh,5,milk and milk products,Rural,URP,38.84
AS,Assam,5,milk and milk products,Rural,URP,43.64
BR,Bihar,5,milk and milk products,Rural,URP,92.96
CT,Chhattisgarh,5,milk and milk products,Rural,URP,15.8
DL,NCT of Delhi,5,milk and milk products,Rural,URP,342.93
AP,Andhra Pradesh,6,sugar,Rural,URP,16.99
AR,Arunachal Pradesh,6,sugar,Rural,URP,14.95
AS,Assam,6,sugar,Rural,URP,12.41
BR,Bihar,6,sugar,Rural,URP,15.85
