nfhs4_state,nfhs4_statecode,SL_NO,ITEM_CATEGORY,region,measure,P0-05,P05-10,P10-20,P20-30,P30-40,P40-50,P50-60,P60-70,P70-80,P80-90,P90-95,P95-100,ALL
India,IN,1,cereal,Rural,URP,101.22,120.48,130.4,139.38,144.46,149.59,154.76,163.05,171.94,173.81,185.87,200.3,153.13
India,IN,2,gram,Rural,URP,0.72,0.69,1.02,1.32,1.49,1.89,2.03,2.47,2.8,3.17,3.69,5.54,2.15
India,IN,3,cereal substitutes,Rural,URP,0.21,0.15,0.17,0.26,0.48,0.73,0.77,1,1.43,1.36,2.09,2.73,0.88
India,IN,4,pulses and pulse products,Rural,URP,22.78,25.77,28.84,32.68,35.96,37.62,39.58,42.6,46.96,50,54.61,62.97,39.73
India,IN,5,milk and milk products,Rural,URP,15.34,29.97,42.4,55.64,76.1,87.82,111.47,132.48,154.16,197.96,247.55,313.6,116.13
India,IN,6,sugar,Rural,URP,10.25,12.27,15.15,17.12,19.61,21.53,23.34,25.9,29,32.56,38.06,43.81,23.64
India,IN,7,salt,Rural,URP,1.77,1.93,2.08,2.19,2.26,2.37,2.44,2.61,2.75,2.85,3.01,3.29,2.46
India,IN,8,edible oil,Rural,URP,26.27,31.17,36.65,40.69,43.49,45.98,47.91,52.88,57.04,59.87,65.35,72.6,48.22
India,IN,9,"egg, fish & meat",Rural,URP,12.27,18.86,24.19,31.94,33.52,38.69,42.09,49.99,54.49,68.13,84.27,110.83,45.62
India,IN,10,vegetables,Rural,URP,37.72,43.63,48.16,53.14,55.78,58.75,60.06,65.72,71.48,75.85,84.98,93.47,61.88
India,IN,11,fruits (fresh),Rural,URP,2.96,4.48,5.91,8.73,10.19,13.64,15.43,19.82,25.12,33.45,46,65.49,19.18
India,IN,12,fruits (dry),Rural,URP,0.54,0.67,1.52,2.04,3.38,3.99,4.85,5.77,7.99,9.02,13.31,20.1,5.59
India,IN,13,spices,Rural,URP,14.56,17.27,19.6,22.16,24.1,26.58,28.63,31.38,34.64,38.27,43.25,49.85,28.78
India,IN,14,"beverages, refreshments, etc.",Rural,URP,31.64,36.22,44.22,50.8,55.63,62.57,67.58,72.52,84.42,99.25,122.14,227.76,74.59
