"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
Andhra Pradesh,969,1141,1366,1589,1833,2078,2336,2818,3385,4434,5717
Arunachal Pradesh,698,824,1033,1485,1680,1909,2181,2574,3015,4098,5057
Assam,735,834,997,1200,1428,1634,1802,2139,2817,3613,5623
Bihar,579,653,784,916,1069,1228,1343,1495,1809,2222,2766
Chhattisgarh,565,695,789,907,1067,1218,1486,1816,2333,3316,4317
Delhi,976,1143,1481,1687,1972,2244,2714,3371,4311,5902,7836
Goa,1200,1320,1557,1879,2302,2590,2808,3117,3625,4675,5339
Gujarat,990,1139,1408,1632,1907,2167,2386,2710,3213,4012,4985
Haryana,990,1162,1553,1789,2088,2506,2806,3304,4249,6533,9317
Himachal Pradesh,1122,1273,1515,1925,2336,2639,3042,3379,3994,5575,7657
Jammu & Kashmir,925,1072,1252,1452,1641,1875,2151,2567,3164,4080,5182
Jharkhand,658,756,948,1104,1286,1476,1750,2121,2592,3074,4425
Karnataka,805,943,1189,1432,1655,1975,2458,2948,3677,6090,7444
Kerala,987,1124,1336,1579,1830,2144,2548,3094,3926,5825,7837
Madhya Pradesh,652,751,881,1039,1178,1377,1557,1804,2286,3390,4667
Maharashtra,982,1149,1458,1673,1920,2206,2520,2969,3685,5413,7004
Manipur,785,817,1028,1151,1244,1338,1424,1543,1751,2117,2593
Meghalaya,981,1164,1456,1724,1967,2147,2346,2625,2935,3660,3989
Mizoram,1122,1252,1491,1703,1944,2176,2399,2710,3144,3929,4568
Nagaland,1107,1205,1345,1641,1901,2101,2287,2687,3135,3507,3976
Odisha,656,736,890,1058,1142,1393,1678,1961,2447,3352,4638
Punjab,1003,1177,1488,1747,1979,2263,2578,2921,3419,4428,5761
Rajasthan,868,991,1189,1415,1592,1769,1976,2352,2870,3766,5217
Sikkim,1406,1554,1722,1963,2255,2370,2495,2682,3013,3577,4694
Tamil Nadu,898,1059,1278,1524,1780,2036,2315,2719,3325,4532,6054
Tripura,791,982,1086,1228,1388,1645,2010,2367,2909,3633,4019
Uttar Pradesh,637,723,850,987,1118,1271,1483,1838,2311,3522,6604
Uttarakhand,958,1075,1209,1364,1619,1829,2178,2576,3055,3990,5625
West Bengal,768,858,1080,1288,1517,1847,2179,2619,3266,4547,5845
A&N Islands,1917,2047,2301,2562,2939,3276,3712,4279,5635,7729,11014
Chandigarh,879,930,1117,1449,1870,2176,2697,3531,4454,5832,7244
Dadra & N. Haveli,987,1094,1169,1371,1501,1876,2369,2655,3313,3751,5368
Daman Diu,859,1096,1189,1383,1673,1915,2082,2423,3132,3806,3942
Lakshadweep,1063,1155,1517,1778,2001,2229,2441,2745,3392,4520,6020
Puducherry,1255,1515,1755,1970,2234,2489,2888,3373,3761,4751,5833
All-India,771,909,1142,1367,1602,1866,2190,2596,3235,4512,6282
