"(1)",(2),,(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Andhra Pradesh,3,,10,32,38,64,78,100,153,167,191,82,82,1000,1563.21,537895,3927
Arunachal Pradesh,35,,66,104,119,64,71,59,81,71,126,105,99,1000,1455.87,8229,1072
Assam,27,,43,112,155,137,139,110,92,86,63,18,18,1000,1056.98,251858,2608
Bihar,44,,74,155,150,128,128,105,76,77,40,13,10,1000,970.41,848459,3312
Chhattisgarh,132,,68,205,161,117,77,48,72,51,38,17,14,1000,904.04,189789,1435
Delhi,0,,0,0,3,0,124,47,43,37,140,195,411,1000,2690.24,10042,64
Goa,0,,0,0,5,24,5,63,66,107,192,221,317,1000,2460.77,6240,160
Gujarat,6,,9,32,63,100,117,139,114,152,135,69,63,1000,1430.12,331338,1712
Haryana,1,,2,19,32,29,36,67,93,140,248,164,170,1000,1925.96,174452,1424
Himachal Pradesh,0,,0,14,37,36,81,90,158,124,203,123,134,1000,1800.62,58559,1658
Jammu & Kashmir,7,,7,30,35,49,62,115,141,194,186,93,83,1000,1601.51,76187,2032
Jharkhand,62,,80,216,150,138,94,86,70,53,29,9,13,1000,919.59,218698,1757
Karnataka,4,,8,32,113,110,118,121,128,140,110,52,65,1000,1395.10,360919,2048
Kerala,5,,2,11,17,25,44,71,111,140,198,141,236,1000,2355.53,231853,2604
Madhya Pradesh,99,,72,122,129,130,104,72,87,70,68,28,19,1000,1024.14,488865,2736
Maharashtra,24,,14,28,52,86,95,124,138,155,158,71,55,1000,1445.89,571375,4032
Manipur,0,,1,13,81,88,126,144,170,156,149,45,28,1000,1334.55,17136,1376
Meghalaya,0,,10,23,36,82,111,160,187,184,149,43,15,1000,1315.12,20851,856
Mizoram,12,,26,31,74,85,91,162,130,130,130,66,63,1000,1384.44,5247,640
Nagaland,0,,10,1,6,27,35,80,90,207,289,159,96,1000,1756.70,7736,672
Odisha,117,,90,182,143,118,94,75,62,50,44,12,11,1000,904.78,315737,2973
Punjab,0,,0,8,8,29,27,43,118,149,235,160,222,1000,2136.39,163271,1552
