-1,-2,-3,-4,-5,-6,-7,-8,-9
1,cereal,154.76,163.05,171.94,173.81,185.87,200.3,153.13
2,gram,2.03,2.47,2.8,3.17,3.69,5.54,2.15
3,cereal substitutes,0.77,1,1.43,1.36,2.09,2.73,0.88
4,pulses and pulse products,39.58,42.6,46.96,50,54.61,62.97,39.73
5,milk and milk products,111.47,132.48,154.16,197.96,247.55,313.6,116.13
6,sugar,23.34,25.9,29,32.56,38.06,43.81,23.64
7,salt,2.44,2.61,2.75,2.85,3.01,3.29,2.46
8,edible oil,47.91,52.88,57.04,59.87,65.35,72.6,48.22
9,"egg, fish & meat",42.09,49.99,54.49,68.13,84.27,110.83,45.62
10,vegetables,60.06,65.72,71.48,75.85,84.98,93.47,61.88
11,fruits (fresh),15.43,19.82,25.12,33.45,46,65.49,19.18
12,fruits (dry),4.85,5.77,7.99,9.02,13.31,20.1,5.59
13,spices,28.63,31.38,34.64,38.27,43.25,49.85,28.78
14,"beverages, refreshments, etc.",67.58,72.52,84.42,99.25,122.14,227.76,74.59
15,food: total (1-14),600.93,668.19,744.24,845.52,994.17,1272.33,621.96
16,"pan, tobacco & intoxicants",30.24,32.23,38.21,44.58,53.03,62.69,30.1
17,fuel and light,115.06,126.87,138.28,152.83,171.94,201.57,118.26
18,clothing & bedding,67.8,79.73,97.3,137.83,186.84,304.51,80.33
19,footwear,15.09,17.15,21.01,28.44,37.8,55.16,16.83
20,education,23.95,28.72,38.08,63.32,96.18,255.7,39.84
21,medical (institutional),2.52,2.88,6.86,16.72,47.45,348.65,23.15
22,medical (non-institutional),50.77,59.96,78.99,104.12,143.94,247.79,64.52
23,entertainment,12.56,15.65,19.06,23.99,33.84,50.46,14.24
24,minor durable-type goods,3.66,4.6,5.03,6.54,9.01,13.93,4.33
25,toilet articles,29.55,33.13,37.93,42.99,51.26,63.51,30.67
26,other household consumables,26.2,30.1,35.49,41.42,51.26,66.83,28.18
27,consum. services excl. conveyance,50.05,60.71,69.49,87.27,112.89,187.17,57.57
28,conveyance,43.72,53.67,74.19,114.34,165.49,267.1,60.92
29,rent,1.95,3.44,4.99,10.6,19.04,59.7,6.31
30,taxes & cesses,3.1,4.14,5.14,6.07,7.91,12.47,3.59
31,durable goods,22.67,27.34,37.46,59.02,109.84,1056.06,78.14
32,non-food: total (16-31),498.89,580.34,707.49,940.09,1297.73,3253.31,656.98
33,total expenditure (15+32),1099.82,1248.53,1451.73,1785.61,2291.9,4525.64,1278.94
34,cooked meals recd. free in workpl.*,1,1.24,1.48,1.92,4.53,9.46,1.61
35,cooked meals recd. as assistance *,18.43,15.94,16.17,11.91,8.28,9.35,16.49
36,clothing & footwear (2nd hand) **,0.25,0.33,0.2,0.44,0.26,0.42,0.28
37,"books, journals, etc. (2nd hand) @",0.22,0.29,0.33,0.33,0.77,0.63,0.26
38,durables (2nd hand) $,0.96,0.27,0.24,1.85,2.65,50.61,3.12
