"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Rajasthan,15,30,87,109,116,129,151,94,93,106,40,28,1000,2206.93,145480,1549
Sikkim,0,0,15,29,40,138,123,243,219,116,64,14,1000,2528.11,862,160
Tamil Nadu,17,25,69,93,91,100,117,132,121,117,67,50,1000,2534.32,301540,3328
Tripura,44,21,133,170,90,77,87,91,147,99,28,13,1000,1996.66,5397,544
Uttar Pradesh,100,105,170,137,99,64,82,65,53,44,23,59,1000,1942.25,391306,3099
Uttarakhand,14,14,80,139,109,105,93,123,126,108,46,42,1000,2452.02,24161,735
West Bengal,36,65,104,97,97,81,95,89,117,102,69,49,1000,2489.89,226574,2747
A&N Islands,0,0,0,1,3,14,86,153,166,275,137,165,1000,4439.03,1248,287
Chandigarh,30,8,140,106,34,51,77,112,106,100,154,84,1000,3000.27,9093,248
Dadra & N. Haveli,0,4,49,224,133,70,60,113,96,181,22,47,1000,2346.15,1266,96
Daman Diu,0,51,36,122,115,77,184,115,92,185,21,0,1000,2163.94,609,64
Lakshadweep,6,0,75,74,40,96,154,202,77,173,50,54,1000,2666.49,269,127
Puducherry,3,3,8,48,29,110,135,147,160,216,100,40,1000,2959.82,7556,448
All-India,38,44,93,95,94,98,105,104,107,109,57,55,1000,2477.02,3168541,41967
